,trainingsizes,frames,masterframes,results,result_sums,mean,times,mini,result_q1,result_q2,result_q3,maxi
0,0,"[59, 62, 19, 62, 62, 73, 20, 33, 19, 62, 62, 35, 19, 19, 37, 62, 19, 65, 36, 38, 38, 37, 19, 62, 19, 19, 19, 45, 62, 62, 62, 19, 42, 62, 69, 98, 22, 25, 19, 62, 20, 19, 62, 40, 33, 19, 19, 38, 19, 19, 54, 19, 19, 62, 62, 62, 22, 62, 62, 37, 62, 62, 37, 35, 47, 38, 62, 98, 62, 19, 19, 62, 60, 19, 62, 31, 19, 62, 62, 62, 19, 19, 19, 19, 62, 62, 57, 38, 59, 35, 45, 44, 62, 62, 22, 19, 38, 19, 19, 38]",4211,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1067,-5.0,-5.0,-5.0,-5.0,-5.0
1,100,"[33, 56, 62, 64, 62, 19, 20, 37, 44, 19, 62, 62, 134, 62, 38, 19, 19, 62, 38, 53, 19, 98, 62, 44, 62, 21, 19, 57, 62, 62, 62, 35, 36, 19, 62, 68, 45, 19, 98, 62, 62, 38, 19, 38, 19, 62, 19, 38, 19, 19, 62, 47, 62, 62, 50, 19, 19, 19, 62, 40, 62, 62, 62, 62, 62, 37, 52, 19, 98, 51, 51, 72, 61, 19, 62, 19, 50, 62, 62, 62, 46, 19, 48, 62, 22, 42, 62, 19, 19, 19, 27, 62, 62, 62, 62, 69, 37, 19, 68, 19]",8895,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1176,-5.0,-5.0,-5.0,-5.0,-5.0
2,200,"[62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 24, 19, 19, 19, 48, 51, 43, 62, 56, 51, 19, 62, 19, 19, 73, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 59, 62, 62, 62, 58, 56, 62, 62, 60, 62, 62, 57, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 58, 62, 61, 62, 62, 62, 62, 60, 61, 58]",14704,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1505,-5.0,-5.0,-5.0,-5.0,-5.0
3,300,"[62, 62, 60, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 20, 19, 33, 56, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 61, 62, 62, 65, 62, 62, 62, 39, 62, 62, 58, 61, 62, 62, 60, 62, 62, 62, 62, 61, 60, 62, 61, 62, 62, 62, 62, 62, 62, 62, 61, 62, 60, 62, 60, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62]",20736,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1568,-5.0,-5.0,-5.0,-5.0,-5.0
4,400,"[62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 61, 62, 62, 62, 62, 58, 60, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 59, 62, 56, 19, 62, 62, 62, 39, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 61, 62, 62, 55, 62, 62, 60, 62, 62, 62, 62, 72, 62, 39, 24, 19, 62, 62, 62]",26733,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1543,-5.0,-5.0,-5.0,-5.0,-5.0
5,500,"[62, 64, 62, 62, 62, 62, 56, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 58, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 41, 19, 19, 19, 38, 19, 19, 35, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 59, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 59, 59, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 61, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 61, 62, 62, 62, 62, 62, 60, 62, 60, 61, 59, 62, 62, 62, 62]",32597,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1535,-5.0,-5.0,-5.0,-5.0,-5.0
6,600,"[62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 56, 60, 62, 62, 62, 60, 62, 62, 53, 62, 62, 61, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 60, 62, 61, 62, 62, 62, 62, 61, 37, 37, 62, 62, 62, 62, 61, 62, 62, 56, 59, 62, 62, 62, 61, 62]",38702,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1645,-5.0,-5.0,-5.0,-5.0,-5.0
7,700,"[62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 61, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 57, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 59, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 19, 43, 62, 134, 19, 35, 62, 19, 19, 19, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62]",44691,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1778,-5.0,-5.0,-5.0,-5.0,-5.0
8,800,"[62, 60, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 60, 62, 62, 62, 62, 60, 62, 98, 19, 74, 62, 62, 62, 62, 60, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 60, 62, 59, 62, 58, 62, 62, 62, 58, 60, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 60, 62, 62, 62, 62, 62, 62, 61, 62, 61, 62, 61, 62, 62, 62, 62, 61, 62, 62, 60, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 59]",50845,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1681,-5.0,-5.0,-5.0,-5.0,-5.0
9,900,"[62, 55, 56, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 58, 56, 62, 62, 62, 62, 62, 61, 62, 62, 19, 64, 62, 62, 61, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 60, 62, 59, 62, 62, 62, 61, 62, 62, 62, 62, 62, 61, 62, 61, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 59, 62, 62, 62, 62, 60, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62]",56950,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1663,-5.0,-5.0,-5.0,-5.0,-5.0
10,1000,"[62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 60, 62, 62, 62, 61, 62, 62, 60, 62, 62, 62, 62, 62, 58, 60, 62, 62, 62, 62, 58, 62, 20, 19, 62, 43, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 57, 62, 55, 62, 62, 62, 60, 62, 62, 62, 62, 59, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 60, 59, 62, 62]",62992,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1604,-5.0,-5.0,-5.0,-5.0,-5.0
11,1100,"[62, 62, 61, 60, 62, 62, 57, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 60, 62, 62, 60, 62, 62, 62, 60, 62, 62, 62, 62, 60, 60, 62, 75, 62, 62, 60, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 59, 60, 66, 62, 62, 62, 44, 19, 38, 62, 62, 62, 62, 61, 62, 60, 62, 60, 62, 62, 62, 62, 62, 62, 60, 60, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 19, 53, 59, 62, 62, 59, 59, 62, 59]",69017,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1623,-5.0,-5.0,-5.0,-5.0,-5.0
12,1200,"[62, 62, 58, 60, 62, 62, 60, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 60, 62, 62, 58, 62, 59, 62, 62, 62, 62, 62, 62, 60, 61, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 43, 54, 19, 62, 60, 62, 62, 62, 60, 62, 62, 62, 62, 60, 62, 62, 59, 62, 62, 58, 61, 62, 62, 33, 62, 62, 62, 41, 51, 19, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 60, 56, 62, 62, 50]",74982,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1558,-5.0,-5.0,-5.0,-5.0,-5.0
13,1300,"[62, 62, 62, 58, 19, 35, 62, 29, 56, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 60, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 19, 39, 38, 38, 62, 62, 62, 62, 62, 62, 62, 59, 62, 58, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 54, 58, 62, 62, 62, 62, 62, 62, 60, 62, 60, 62, 57, 62, 62, 62, 54, 62, 62, 62, 62, 62, 62, 62, 60, 62, 60, 62, 36, 19, 48, 33, 19, 19, 19, 19, 38, 19, 19, 62, 60, 62, 61]",80511,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1455,-5.0,-5.0,-5.0,-5.0,-5.0
14,1400,"[62, 61, 62, 61, 62, 62, 58, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 57, 62, 62, 58, 62, 58, 62, 62, 62, 62, 61, 62, 62, 62, 62, 61, 62, 60, 62, 62, 62, 62, 60, 62, 62, 58, 43, 43, 62, 60, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 58, 33, 19, 19, 62, 24, 26, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62]",86438,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1566,-5.0,-5.0,-5.0,-5.0,-5.0
15,1500,"[62, 62, 52, 35, 62, 52, 19, 39, 20, 19, 38, 19, 104, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 60, 59, 62, 62, 62, 60, 62, 62, 62, 61, 60, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 60, 62, 62, 60, 62, 62, 61, 62, 62, 62, 61, 61, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62]",92383,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1613,-5.0,-5.0,-5.0,-5.0,-5.0
16,1600,"[60, 62, 62, 62, 62, 62, 62, 62, 62, 61, 32, 19, 19, 19, 62, 62, 62, 40, 19, 19, 19, 75, 62, 62, 62, 62, 62, 62, 62, 61, 62, 59, 62, 62, 62, 42, 62, 39, 55, 19, 19, 19, 62, 62, 56, 62, 62, 62, 62, 62, 62, 62, 62, 56, 62, 69, 62, 74, 48, 62, 31, 19, 19, 19, 38, 19, 49, 72, 61, 62, 62, 58, 62, 62, 62, 62, 62, 61, 62, 58, 62, 62, 62, 53, 62, 19, 35, 19, 19, 19, 62, 53, 63, 62, 62, 60, 62, 62, 62, 62]",97635,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1354,-5.0,-5.0,-5.0,-5.0,-5.0
17,1700,"[60, 62, 62, 62, 58, 62, 62, 56, 62, 19, 42, 19, 38, 38, 19, 36, 19, 39, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 55, 62, 62, 62, 62, 62, 19, 19, 62, 19, 19, 19, 45, 64, 62, 62, 60, 58, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 58, 62, 61, 60, 55, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 19, 62, 22, 19, 52, 58, 62, 62, 62, 62, 62]",103128,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1401,-5.0,-5.0,-5.0,-5.0,-5.0
18,1800,"[62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 56, 60, 59, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 59, 62, 62, 62, 62, 62, 58, 61, 62, 60, 62, 59, 62, 62, 62, 60, 62, 62, 62, 62, 62, 60, 62, 62, 62, 61, 58, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 61, 62, 61, 62, 60, 62, 62, 62, 62, 62, 58, 62, 62, 61, 62, 62, 62, 62, 62, 61, 62, 62, 62, 19, 57, 75, 45, 38, 19, 54, 19]",109107,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1528,-5.0,-5.0,-5.0,-5.0,-5.0
19,1900,"[54, 62, 67, 62, 62, 62, 62, 62, 62, 62, 61, 62, 61, 62, 62, 62, 59, 71, 43, 62, 19, 65, 20, 62, 19, 35, 19, 37, 36, 39, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 69, 19, 19, 62, 62, 62, 30, 62, 60, 62, 60, 62, 62, 62, 62, 62, 62, 62, 57, 62, 33, 19, 38, 19, 19, 52, 19, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 60, 55, 39, 71, 62, 62, 62, 62, 62, 62]",114639,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1416,-5.0,-5.0,-5.0,-5.0,-5.0
20,2000,"[61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 59, 61, 62, 57, 62, 21, 19, 33, 56, 19, 19, 19, 19, 43, 64, 62, 60, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 55, 69, 73, 36, 62, 62, 62, 58, 58, 62, 62, 57, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 60, 62, 62, 19, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 54, 60, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62]",120425,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1467,-5.0,-5.0,-5.0,-5.0,-5.0
21,2100,"[62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 58, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 60, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 56, 62, 62, 19, 52, 19, 53, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 42, 19, 19, 38, 62, 62, 61, 62, 62, 62, 62, 69, 45, 20, 36, 28, 19, 19, 19, 19, 38, 62, 39, 60, 62, 62, 62, 62]",126029,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1488,-5.0,-5.0,-5.0,-5.0,-5.0
22,2200,"[62, 62, 62, 24, 19, 62, 62, 38, 59, 19, 62, 54, 62, 62, 62, 60, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 60, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 60, 62, 62, 62, 22, 77, 19, 62, 62, 62, 58, 60, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 37, 19, 19, 62, 59, 62, 62, 62, 61, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 36, 19, 62, 19, 57, 62]",131741,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1484,-5.0,-5.0,-5.0,-5.0,-5.0
23,2300,"[62, 72, 45, 19, 62, 62, 62, 62, 60, 62, 62, 62, 63, 62, 55, 62, 62, 62, 62, 62, 60, 62, 62, 62, 66, 74, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 58, 62, 62, 59, 62, 61, 62, 62, 59, 62, 62, 62, 57, 62, 62, 61, 62, 60, 62, 62, 62, 60, 62, 62, 62, 62, 62, 61, 59, 62, 62, 62, 62, 62, 62, 61, 62, 62, 59, 58, 62, 62, 62, 58, 62, 62, 62, 62, 62, 57, 62, 62, 62, 62, 62, 62]",137852,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1626,-5.0,-5.0,-5.0,-5.0,-5.0
24,2400,"[60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 58, 60, 62, 62, 62, 62, 63, 59, 62, 54, 49, 62, 62, 62, 62, 56, 62, 62, 62, 62, 62, 62, 62, 56, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 19, 62, 72, 41, 19, 19, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 44, 38, 62, 66, 62, 62, 62, 62, 61, 62, 62, 58, 62, 60, 60, 62, 60, 60, 62, 62, 61, 62, 62, 61, 62, 60, 62]",143810,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1531,-5.0,-5.0,-5.0,-5.0,-5.0
