,trainingsizes,frames,masterframes,results,result_sums,mean,times,mini,result_q1,result_q2,result_q3,maxi
50,5000,"[62, 60, 62, 62, 62, 62, 61, 62, 57, 62, 62, 62, 59, 62, 19, 62, 53, 62, 42, 62, 58, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 60, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 61, 62, 59, 62, 57, 62, 62, 62, 62, 60, 62, 62, 61, 62, 62, 62, 62]",296151,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1557,-5.0,-5.0,-5.0,-5.0,-5.0
51,5100,"[62, 60, 62, 62, 62, 62, 61, 62, 58, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 60, 61, 60, 62, 62, 62, 60, 62, 59, 61, 62, 62, 62, 60, 62, 58, 62, 62, 62, 58, 62, 62, 62, 62, 62, 60, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 58, 60, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 50, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62]",302285,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1562,-5.0,-5.0,-5.0,-5.0,-5.0
52,5200,"[59, 56, 62, 78, 62, 62, 60, 60, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 60, 62, 58, 62, 62, 21, 19, 38, 19, 62, 62, 62, 61, 62, 60, 62, 62, 62, 62, 59, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 58, 62, 61, 62, 54, 21, 38, 62, 62, 56, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 60, 37, 38, 19]",308140,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1484,-5.0,-5.0,-5.0,-5.0,-5.0
53,5300,"[62, 19, 19, 47, 19, 62, 66, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 60, 62, 44, 19, 53, 19, 38, 20, 62, 19, 62, 41, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 56, 62, 76, 62, 60, 62, 58, 60, 62, 62, 62, 62, 62, 62, 62, 61, 62, 58, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62]",313938,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1503,-5.0,-5.0,-5.0,-5.0,-5.0
54,5400,"[62, 62, 62, 62, 56, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 60, 62, 60, 62, 39, 19, 19, 33, 36, 19, 38, 65, 62, 62, 33, 20, 38, 19, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 59, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 60, 62, 62, 60, 62, 62, 62, 61, 62, 58, 62, 62, 62, 62, 62, 62, 62, 54, 57, 19]",319685,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1460,-5.0,-5.0,-5.0,-5.0,-5.0
55,5500,"[62, 20, 19, 27, 19, 19, 47, 62, 58, 62, 62, 58, 56, 62, 57, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 61, 58, 62, 56, 62, 60, 62, 62, 62, 58, 62, 62, 62, 62, 59, 62, 46, 19, 19, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 60, 62, 60, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 57]",325505,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1477,-5.0,-5.0,-5.0,-5.0,-5.0
56,5600,"[57, 62, 62, 62, 62, 57, 62, 62, 62, 57, 62, 56, 62, 62, 62, 62, 62, 19, 52, 20, 62, 91, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 61, 62, 61, 62, 62, 58, 62, 62, 58, 62, 39, 45, 35, 19, 62, 19, 62, 62, 62, 62, 60, 58, 62, 62, 62, 56, 58, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 60, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62]",331425,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1536,-5.0,-5.0,-5.0,-5.0,-5.0
57,5700,"[60, 62, 62, 62, 62, 61, 60, 62, 62, 62, 62, 62, 62, 62, 59, 57, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 56, 59, 62, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 50, 58, 62, 37, 54, 62, 23, 20, 62, 58, 62, 58, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 41, 61, 38, 62, 19, 52, 38, 19, 38, 38, 44, 98, 62, 62, 62, 62, 62, 62, 62, 62, 62, 45, 22, 19, 33, 19, 55, 62, 27, 66, 62]",337050,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1474,-5.0,-5.0,-5.0,-5.0,-5.0
58,5800,"[62, 62, 62, 62, 62, 57, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 53, 62, 62, 62, 62, 62, 62, 27, 48, 19, 19, 19, 62, 67, 62, 62, 62, 62, 62, 62, 60, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 33, 56, 35, 57, 55, 62, 41, 19, 62, 62, 62, 62, 62, 60, 62, 62, 61, 62, 62, 62, 60, 53, 19, 19, 62, 35, 38, 62, 62, 43, 35, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 51]",342708,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1435,-5.0,-5.0,-5.0,-5.0,-5.0
59,5900,"[33, 38, 62, 62, 41, 19, 25, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 60, 62, 61, 62, 60, 62, 62, 61, 62, 56, 62, 62, 62, 54, 62, 62, 62, 59, 62, 60, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 60, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 59, 60, 62, 62, 62, 62, 62, 62, 62, 62]",348709,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1528,-5.0,-5.0,-5.0,-5.0,-5.0
60,6000,"[62, 62, 61, 62, 62, 56, 62, 62, 62, 62, 62, 19, 19, 62, 20, 49, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 58, 62, 60, 62, 61, 62, 61, 62, 62, 61, 62, 60, 62, 62, 61, 62, 62, 62, 60, 61, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 60, 60, 62, 62, 62, 58, 62, 61, 62, 62, 61, 62, 60, 62, 60, 62, 60, 62, 61, 62, 60, 58, 62, 62, 62, 62]",354721,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1505,-5.0,-5.0,-5.0,-5.0,-5.0
61,6100,"[60, 62, 62, 62, 62, 57, 62, 62, 62, 62, 62, 62, 58, 62, 60, 62, 62, 62, 62, 62, 58, 57, 58, 62, 58, 62, 62, 62, 58, 62, 62, 62, 62, 60, 58, 56, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 47, 22, 19, 19, 19, 62, 37, 19, 62, 62, 62, 62, 60, 61, 62, 62, 62, 62, 62, 62, 58, 60, 62, 61, 62, 62, 60, 62, 61]",360602,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1580,-5.0,-5.0,-5.0,-5.0,-5.0
62,6200,"[62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 65, 68, 20, 52, 19, 19, 62, 19, 96, 62, 62, 62, 62, 60, 62, 62, 62, 60, 62, 61, 62, 62, 58, 62, 62, 19, 38, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 59, 62, 61, 62, 19, 69, 64, 49, 19, 62, 62, 62, 62, 60, 62, 60, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 60, 62, 60, 61, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62]",366473,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1540,-5.0,-5.0,-5.0,-5.0,-5.0
63,6300,"[62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 60, 62, 63, 62, 60, 62, 62, 62, 62, 60, 62, 62, 62, 55, 19, 19, 19, 61, 62, 62, 19, 19, 35, 62, 44, 22, 62, 62, 59, 62, 60, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 43, 19, 37, 33, 54, 67, 60, 62, 62, 62, 61, 60, 62, 62, 62, 62, 62, 62, 60, 62, 62, 60, 62, 62, 61, 62, 62, 35, 19, 20, 62, 62, 37, 19, 62, 62, 62]",372043,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1413,-5.0,-5.0,-5.0,-5.0,-5.0
64,6400,"[62, 61, 59, 62, 62, 61, 57, 62, 62, 59, 62, 62, 62, 47, 62, 71, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 60, 62, 62, 62, 62, 45, 19, 19, 62, 62, 62, 62, 33, 19, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 61, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 61, 62, 62, 62, 62, 61, 60, 62, 62, 62, 62, 62]",378034,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1601,-5.0,-5.0,-5.0,-5.0,-5.0
65,6500,"[60, 61, 59, 62, 58, 62, 62, 62, 62, 62, 62, 59, 62, 62, 62, 58, 58, 60, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 19, 66, 48, 19, 37, 19, 19, 62, 62, 19, 20, 62, 62, 62, 62, 62, 62, 62, 62, 60, 59, 62, 56, 62, 62, 62, 62, 62, 52, 62, 59, 58, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 45, 19, 38, 19, 62, 35, 19, 19, 98, 46, 38, 20, 65, 62, 62, 62]",383602,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1393,-5.0,-5.0,-5.0,-5.0,-5.0
66,6600,"[62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 33, 62, 54, 19, 19, 44, 62, 52, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 22, 33, 56, 62, 62, 60, 60, 62, 57, 62, 62, 62, 62, 62, 54, 62, 61, 60, 62, 62, 62, 62, 66, 21, 62, 35, 19, 38, 19, 55, 19, 19, 74, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 60, 62, 63, 62, 62, 62, 60, 62, 62, 62, 62, 62, 70, 62, 69, 62, 62, 62, 62, 62]",389306,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1452,-5.0,-5.0,-5.0,-5.0,-5.0
67,6700,"[62, 62, 59, 59, 62, 60, 62, 62, 61, 62, 37, 38, 19, 38, 62, 24, 19, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 60, 62, 62, 38, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 60, 61, 62, 62, 62, 62, 62, 62, 62, 62, 65, 62, 62, 62, 62, 56, 62, 62, 62, 56, 62, 62, 62, 62, 62, 62, 60, 62, 62, 20, 19, 38, 19, 19, 38, 35, 36, 19, 19, 62, 19, 19, 62, 62, 60, 62]",394808,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1402,-5.0,-5.0,-5.0,-5.0,-5.0
68,6800,"[62, 62, 62, 62, 62, 62, 62, 60, 60, 62, 62, 62, 62, 60, 62, 62, 62, 61, 62, 58, 58, 62, 62, 62, 62, 62, 62, 58, 60, 62, 62, 62, 62, 57, 62, 62, 27, 19, 19, 62, 49, 19, 55, 62, 62, 64, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 60, 62, 62, 61, 19, 38, 19, 43, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 58, 62, 62, 62, 62, 61, 62, 43, 56, 19, 19, 19, 62, 59, 19, 19, 62, 62, 62, 35, 62, 62, 60, 62, 61]",400387,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1448,-5.0,-5.0,-5.0,-5.0,-5.0
69,6900,"[62, 62, 58, 58, 62, 57, 62, 60, 62, 70, 62, 112, 62, 22, 19, 62, 19, 63, 62, 62, 62, 60, 62, 60, 58, 58, 61, 62, 62, 62, 52, 62, 62, 62, 62, 58, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 60, 60, 62, 60, 62, 19, 37, 33, 38, 20, 62, 55, 62, 62, 56, 43, 62, 22, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 19, 45, 38, 19, 19, 62, 62, 75, 62, 62, 62, 62, 56, 61, 62, 62, 59, 60]",406066,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1495,-5.0,-5.0,-5.0,-5.0,-5.0
70,7000,"[58, 62, 62, 62, 61, 62, 62, 62, 63, 62, 62, 19, 62, 62, 19, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 61, 61, 62, 57, 62, 62, 61, 62, 62, 62, 62, 62, 62, 61, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 57, 62, 62, 62, 62, 62, 58, 61, 62, 62, 62, 19, 62, 62, 62, 69, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 69, 73, 19, 72, 33, 62]",412070,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1548,-5.0,-5.0,-5.0,-5.0,-5.0
71,7100,"[62, 62, 62, 62, 62, 59, 62, 62, 62, 62, 62, 62, 58, 56, 62, 62, 62, 62, 62, 51, 78, 62, 55, 62, 19, 62, 52, 62, 61, 62, 62, 62, 62, 62, 58, 62, 62, 59, 61, 62, 62, 62, 62, 62, 62, 60, 62, 62, 60, 62, 61, 62, 62, 62, 62, 19, 19, 38, 51, 19, 19, 19, 19, 19, 62, 63, 62, 62, 62, 62, 62, 59, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 19, 62, 62, 59, 60, 60, 62, 58, 62, 58, 62, 62, 62, 62, 62, 62, 40]",417768,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1462,-5.0,-5.0,-5.0,-5.0,-5.0
72,7200,"[62, 62, 19, 19, 19, 56, 57, 62, 19, 38, 19, 19, 62, 62, 59, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 38, 19, 52, 70, 62, 59, 62, 62, 58, 62, 62, 62, 62, 62, 57, 62, 62, 62, 59, 62, 62, 62, 58, 62, 63, 56, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 19]",423529,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1535,-5.0,-5.0,-5.0,-5.0,-5.0
73,7300,"[49, 62, 62, 40, 20, 19, 62, 19, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 38, 74, 39, 44, 19, 19, 19, 62, 20, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 61, 62, 62, 62, 66, 63, 19, 19, 56, 19, 62, 53, 38, 62, 56, 70, 62, 61, 62, 62, 59, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 36, 49, 57, 57, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 61, 58, 62, 62, 60, 62, 62, 44, 19, 62]",429052,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1460,-5.0,-5.0,-5.0,-5.0,-5.0
74,7400,"[41, 19, 20, 19, 35, 19, 62, 134, 52, 19, 19, 75, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 61, 61, 62, 62, 62, 55, 62, 62, 62, 62, 60, 62, 62, 62, 57, 62, 62, 62, 61, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 22, 62, 62, 62, 62, 62, 62, 62, 62, 62, 61, 62, 62, 62, 58, 62, 61, 62, 58, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 60, 62, 62, 62, 62, 62, 62, 62, 62, 62, 62, 58, 62]",434945,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0]",-125.0,-5.0,1543,-5.0,-5.0,-5.0,-5.0,-5.0
